"iter","ver1, 100k - _step","ver1, 100k - _step__MIN","ver1, 100k - _step__MAX","ver1, 100k - digit1_accuracy","ver1, 100k - digit1_accuracy__MIN","ver1, 100k - digit1_accuracy__MAX","ver1, 100k - digit2_accuracy","ver1, 100k - digit2_accuracy__MIN","ver1, 100k - digit2_accuracy__MAX","ver1, 100k - digit3_accuracy","ver1, 100k - digit3_accuracy__MIN","ver1, 100k - digit3_accuracy__MAX","ver1, 100k - digit4_accuracy","ver1, 100k - digit4_accuracy__MIN","ver1, 100k - digit4_accuracy__MAX","ver1, 100k - digit5_accuracy","ver1, 100k - digit5_accuracy__MIN","ver1, 100k - digit5_accuracy__MAX","ver1, 100k - digit6_accuracy","ver1, 100k - digit6_accuracy__MIN","ver1, 100k - digit6_accuracy__MAX","ver1, 100k - digit7_accuracy","ver1, 100k - digit7_accuracy__MIN","ver1, 100k - digit7_accuracy__MAX","ver1, 100k - digit8_accuracy","ver1, 100k - digit8_accuracy__MIN","ver1, 100k - digit8_accuracy__MAX"
"11000","44","44","44","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","0","0","0"
"11250","45","45","45","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","98","98","98","0","0","0"
"11500","46","46","46","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"11750","47","47","47","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"12000","48","48","48","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"12250","49","49","49","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"12500","50","50","50","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","0","0","0"
"12750","51","51","51","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"13000","52","52","52","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","98","98","98","0","0","0"
"13250","53","53","53","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"13500","54","54","54","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","0","0","0"
"13750","55","55","55","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","0","0","0"
"14000","56","56","56","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"14250","57","57","57","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"14500","58","58","58","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"14750","59","59","59","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"15000","60","60","60","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"15250","61","61","61","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"15500","62","62","62","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"15750","63","63","63","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"16000","64","64","64","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"16250","65","65","65","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"16500","66","66","66","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"16750","67","67","67","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"17000","68","68","68","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"17250","69","69","69","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"17500","70","70","70","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"17750","71","71","71","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"18000","72","72","72","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"18250","73","73","73","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","0","0","0"
"18500","74","74","74","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"18750","75","75","75","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"19000","76","76","76","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","0","0","0"
"19250","77","77","77","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"19500","78","78","78","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"19750","79","79","79","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"20000","80","80","80","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
