"iter","ver1_1and3digit_lr0.001 - _step","ver1_1and3digit_lr0.001 - _step__MIN","ver1_1and3digit_lr0.001 - _step__MAX","ver1_1and3digit_lr0.001 - digit1_accuracy","ver1_1and3digit_lr0.001 - digit1_accuracy__MIN","ver1_1and3digit_lr0.001 - digit1_accuracy__MAX","ver1_1and3digit_lr0.001 - digit2_accuracy","ver1_1and3digit_lr0.001 - digit2_accuracy__MIN","ver1_1and3digit_lr0.001 - digit2_accuracy__MAX","ver1_1and3digit_lr0.001 - digit3_accuracy","ver1_1and3digit_lr0.001 - digit3_accuracy__MIN","ver1_1and3digit_lr0.001 - digit3_accuracy__MAX","ver1_1and3digit_lr0.001 - digit4_accuracy","ver1_1and3digit_lr0.001 - digit4_accuracy__MIN","ver1_1and3digit_lr0.001 - digit4_accuracy__MAX"
"9500","38","38","38","100","100","100","0","0","0","83","83","83","0","0","0"
"9750","39","39","39","100","100","100","0","0","0","83","83","83","0","0","0"
"10000","40","40","40","100","100","100","0","0","0","82","82","82","0","0","0"
"10250","41","41","41","99","99","99","0","0","0","82","82","82","0","0","0"
"10500","42","42","42","100","100","100","0","0","0","82","82","82","0","0","0"
"10750","43","43","43","100","100","100","0","0","0","82","82","82","0","0","0"
"11000","44","44","44","100","100","100","0","0","0","82","82","82","0","0","0"
"11250","45","45","45","100","100","100","0","0","0","83","83","83","0","0","0"
"11500","46","46","46","100","100","100","0","0","0","82","82","82","0","0","0"
"11750","47","47","47","100","100","100","0","0","0","83","83","83","0","0","0"
"12000","48","48","48","99","99","99","0","0","0","82","82","82","0","0","0"
"12250","49","49","49","100","100","100","0","0","0","82","82","82","0","0","0"
"12500","50","50","50","100","100","100","0","0","0","82","82","82","0","0","0"
"12750","51","51","51","100","100","100","0","0","0","82","82","82","0","0","0"
"13000","52","52","52","100","100","100","0","0","0","83","83","83","0","0","0"
"13250","53","53","53","100","100","100","0","0","0","82","82","82","0","0","0"
"13500","54","54","54","100","100","100","0","0","0","82","82","82","0","0","0"
"13750","55","55","55","100","100","100","0","0","0","83","83","83","0","0","0"
"14000","56","56","56","100","100","100","0","0","0","82","82","82","0","0","0"
"14250","57","57","57","100","100","100","0","0","0","83","83","83","0","0","0"
"14500","58","58","58","100","100","100","0","0","0","82","82","82","0","0","0"
"14750","59","59","59","100","100","100","0","0","0","82","82","82","0","0","0"
"15000","60","60","60","100","100","100","0","0","0","83","83","83","0","0","0"
"15250","61","61","61","100","100","100","0","0","0","83","83","83","0","0","0"
"15500","62","62","62","100","100","100","0","0","0","83","83","83","0","0","0"
"15750","63","63","63","99","99","99","0","0","0","83","83","83","0","0","0"
"16000","64","64","64","100","100","100","0","0","0","82","82","82","0","0","0"
"16250","65","65","65","100","100","100","0","0","0","83","83","83","0","0","0"
"16500","66","66","66","100","100","100","0","0","0","82","82","82","0","0","0"
