"num_train_samples","eval random A - _step","eval random A - _step__MIN","eval random A - _step__MAX","eval random A - test_accuracy","eval random A - test_accuracy__MIN","eval random A - test_accuracy__MAX","eval random A & C - _step","eval random A & C - _step__MIN","eval random A & C - _step__MAX","eval random A & C - test_accuracy","eval random A & C - test_accuracy__MIN","eval random A & C - test_accuracy__MAX","eval random C - _step","eval random C - _step__MIN","eval random C - _step__MAX","eval random C - test_accuracy","eval random C - test_accuracy__MIN","eval random C - test_accuracy__MAX","eval correct A & C - _step","eval correct A & C - _step__MIN","eval correct A & C - _step__MAX","eval correct A & C - test_accuracy","eval correct A & C - test_accuracy__MIN","eval correct A & C - test_accuracy__MAX"
"1000","0","0","0","10.404040404040405","10.404040404040405","10.404040404040405","0","0","0","0.6060606060606061","0.6060606060606061","0.6060606060606061","0","0","0","11.313131313131313","11.313131313131313","11.313131313131313","0","0","0","84.64646464646465","84.64646464646465","84.64646464646465"
"2000","1","1","1","97.27272727272728","97.27272727272728","97.27272727272728","1","1","1","78.88888888888889","78.88888888888889","78.88888888888889","1","1","1","98.58585858585859","98.58585858585859","98.58585858585859","1","1","1","99.69696969696969","99.69696969696969","99.69696969696969"
"3000","2","2","2","98.28282828282828","98.28282828282828","98.28282828282828","2","2","2","90.20202020202021","90.20202020202021","90.20202020202021","2","2","2","99.29292929292929","99.29292929292929","99.29292929292929","2","2","2","99.79797979797979","99.79797979797979","99.79797979797979"
"4000","3","3","3","99.69696969696969","99.69696969696969","99.69696969696969","3","3","3","92.72727272727272","92.72727272727272","92.72727272727272","3","3","3","99.8989898989899","99.8989898989899","99.8989898989899","3","3","3","99.8989898989899","99.8989898989899","99.8989898989899"
"5000","4","4","4","99.69696969696969","99.69696969696969","99.69696969696969","4","4","4","91.01010101010101","91.01010101010101","91.01010101010101","4","4","4","99.39393939393939","99.39393939393939","99.39393939393939","4","4","4","100","100","100"
"10000","5","5","5","100","100","100","5","5","5","98.38383838383838","98.38383838383838","98.38383838383838","5","5","5","100","100","100","5","5","5","100","100","100"
"20000","6","6","6","100","100","100","6","6","6","98.7878787878788","98.7878787878788","98.7878787878788","6","6","6","100","100","100","6","6","6","100","100","100"
