num_train_samples,addition,reverse,algorithmic reasoning,simplified scratchpad,random A,random C,random A & C
250,0,0,59.5,0.4,,,
500,0,0,92.8,0.1,,,
1000,0.393939,1.565657,99.79798,84.64646,10.40404,11.31313,0.606061
2000,1.737374,30.64646,99.59596,99.69697,97.27273,98.58586,78.88889
3000,28.74747,79.14141,100,99.79798,98.28283,99.29293,90.20202
4000,62.25253,98.17172,100,99.89899,99.69697,99.89899,92.72727
5000,81.09091,99.82828,99.89899,100,99.69697,99.39394,91.0101
10000,87.42424,100,100,100,100,100,98.38384
20000,90.12121,100,100,100,100,100,98.78788
